192.24902,174.86784,0.9188217
192.23624,246.78304,0.9072674
137.76329,246.67189,0.8448161
92.06414,327.34937,0.90083814
153.09726,338.15268,0.8610611
246.65926,246.76987,0.85090756
279.41083,327.40002,0.87630093
216.15797,336.07187,0.80712116
183.56126,412.30664,0.72675157
148.62408,412.27737,0.7055042
157.33528,551.8041,0.6687026
179.12671,708.6924,0.7761497
218.43085,412.3466,0.7037532
216.21094,556.1228,0.72933704
192.2828,676.01514,0.7879009
181.30878,163.98303,0.9727926
203.22813,163.99757,0.9364261
166.11041,177.04562,0.8676812
220.59671,176.99344,0.8659655
211.85086,723.95795,0.6547429
218.384,717.3481,0.67604566
185.72624,680.28467,0.4491053
190.0208,743.59436,0.6993822
170.41705,743.5361,0.6978258
181.32404,717.42346,0.59182775
